Comment,Designator,Footprint,LC2SC,LCSC
"12.5pF","C1,C4","Capacitor_SMD:C_0402_1005Metric","","C1547"
"100nF","C10,C11,C12,C13,C14,C15,C3","Capacitor_SMD:C_0402_1005Metric","","C1525"
"20pF","C2,C5","Capacitor_SMD:C_0402_1005Metric","","C1554"
"4.7uF","C6","Capacitor_SMD:C_0402_1005Metric","","C23733"
"1uF","C7,C16","Capacitor_SMD:C_0402_1005Metric",""," C12530"
"2.2uF","C8","Capacitor_SMD:C_0402_1005Metric","","C12530"
"10uF","C9","Capacitor_SMD:C_0402_1005Metric",""," C15525"
"D","D1","Diode_SMD:D_SOD-123F","","C64898"
"LED","D2,D3","LED_SMD:LED_0603_1608Metric","","C2290"
"MicroUSB","J1","Connector_USB:USB_Micro-B_Molex-105017-0001",""," 	C505111"
"PORTB2","J10","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical",""
"I2C1_1","J11","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"I2C3_1","J12","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"JTAG/SWD","J13","Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Vertical",""
"I2C1_2","J14","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"I2C3_2","J15","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"I2C1_3","J16","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"I2C3_3","J17","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"SPI2_1","J18","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical",""
"SPI3_1","J19","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical",""
"USBC","J2","Connector_USB:USB_C_Receptacle_GCT_USB4085",""
"I2C1_4","J20","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"I2C3_4","J21","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"SPI2_2","J22","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical",""
"SPI3_2","J23","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical",""
"UART1","J24","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"VUSB_SWITCH","J25","Connector_PinSocket_2.54mm:PinSocket_2x01_P2.54mm_Vertical",""
"PORTC1","J3","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"POWER","J4","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"PORTC2","J5","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical",""
"UART2","J6","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"PORTA1","J7","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"PORTA2","J8","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"PORTB1","J9","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"BOOT0","JP1","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm",""
"VUSB","JP2","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm",""
"10K","R1,R7","Resistor_SMD:R_0402_1005Metric","","C25744"
"50KR","R2","Resistor_SMD:R_0402_1005Metric","","C25755"
"1KR","R3","Resistor_SMD:R_0402_1005Metric","","C11702"
"5.11K","R4,R5","Resistor_SMD:R_0402_1005Metric","","C25906"
"332K","R6","Resistor_SMD:R_0402_1005Metric","","C25778"
"1K","R8,R9","Resistor_SMD:R_0402_1005Metric","","C11702"
"RESET","SW1","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"AMS1117-3.3","U1","Package_TO_SOT_SMD:SOT-223",""," C6186"
"STM32F401RBTx","U2","Package_QFP:LQFP-64_10x10mm_P0.5mm","","C75278"
"32kHz","Y1","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","","C32346"
"8MHz","Y2","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","","C115962"
